World bank projects, downloaded 01-05-2021 07:46:46 am								
Infraestructura vial en Santa Fe, Argentina	Argentina	P099051	126.70	Cerrado	2007-02-13T00:00:00Z	2018-01-18T00:00:00Z	The overall purpose of the project is to improve transport conditions along a strategic road corridor that links the Province of Santa Fe with regional and international markets. Adding capacity to National Road 19, a key component of a major bi-oceanic corridor that links the PSF and the Center Region with Chile and Brazil will reduce logistics costs, facilitate access to major regional consumption and export markets and foster the effective economic integration of the Center Region provinces	
Argentina: Proyecto de desarrollo agrÌcola provincial (financiamiento adicional). PrÈstamo 7425-0 AR	Argentina	P102316	37.00	Cerrado	2007-01-23T00:00:00Z	2016-04-12T00:00:00Z	1. To increase and diversify agricultural production and exports through intensifying land use, increasing productivity per hectare, and introducing new crops and modern varieties.  2. To increase and stabilize the agricultural incomes of about 120,000 small and medium-sized commercial farms. 3. To improve the effectiveness of basic agricultural support services to increase the international competitiveness of agricultural products, by introducing new and more productive technologies, increasing quality and improving sanitary conditions of products, and eradicating diseases that limit access to international markets. 4. To improve rural productive infrastructure to reduce production and marketing costs, through a significant reduction in the risk of losses (crops, livestock, equipment and facilities), as well as more efficient use and better conservation and management of natural resources. 5. To strengthen national and provincial institutional capacity to formulate and analyze sectoral development policy, as well as to identify, prepare and implement investment projects. 6.  To rationalize public investments and promote an expanded private sector role (e.g., farmers' organizations, NGOs, and service providers) in agricultural development. 7.  Improve maternal and child health through the delivery of quality services, and to strengthen disease surveillance and control activities, all for purposes of reducing the acute risk of disease in the Borrower's territory.	
Argentina: Proyecto de funciones esenciales de la salud p˙blica	Argentina	P090993	220.00	Cerrado	2006-11-21T00:00:00Z	2013-05-09T00:00:00Z	The Project's development objectives are to: (i) increase the coverage of ten prioritized Public Health Programs; (ii) reducepopulation's exposure to principal risk factors associated with collective illness; and (iii) improve the stewardship role andappropriate regulatory environment of the Nation's public health system. The Project aims to support Argentina's Federal HealthPlan and its objectives to reduce mortality and morbidity associated with collective illness.	
Segundo prÈstamo adaptable para programas de inversiÛn en salud materno infantil provincial en Argentina 	Argentina	P095515	300.00	Cerrado	2006-11-02T00:00:00Z	2013-05-09T00:00:00Z	The project development objectives are: (a) to increase access by eligible uninsured mothers and children to basic  health services;   (b) to strengthen the incentive framework for efficiency and focus on results between the national level and the Eligible Provinces and among Eligible Provinces and service providers by linking financing to both services actually rendered to the target populationand to the achievement of the MCHIP results as reflected by the selected ten tracers of the Trazadoras Matrix.	
Infraestructura vial en CÛrdoba, Argentina 	Argentina	P099585	75.00	Cerrado	2006-07-11T00:00:00Z	2018-01-18T00:00:00Z	Improve the reliability of the Province's road sector assets and the efficiency of their management as a means to support the Province's competitiveness and economic growth, by building up institutional capacity to encourage efficient planning policies and adequate resource allocation for the rehabilitation and maintenance of the core provincial road network.	
Argentina  Segundo prÈstamo adaptable para programas de drenaje y prevenciÛn de inundaciones urbanas 	Argentina	P093491	70.00	Cerrado	2006-06-06T00:00:00Z	2015-07-30T00:00:00Z	The project would help reduce vulnerability of Argentina to flooding, through a mix of physical, institutional and financial measures.  It will be the second phase of an APL, planned over the next 7 years. While phase 1 of the program develops a risk management program for the City of Buenos Aires, phase 2 develops a risk management program for six provinces complying with the selection criteria, and undertakes preparation of the future operations.  The measures will aim at improving the security of economic assets and persons living in flood-prone areas by constructing defense facilities to reduce future losses due to floods, and by strengthening national and provincial institutions and systems for dealing with future floods. These provinces (Chaco, Corrientes, Misiones, Santa Fe, Formosa and Entre Rios), are located along the two main rivers, the Paran? and Paraguay, constituting the Argentinean region most vulnerable to flooding. The provinces have started to develop a risk management strategy under the current Flood Protection Project (4117-AR), and they succeeded in achieving positive results in risk identification and mitigation.  In addition, the provinces will build on the achievements and experience from the City of Buenos Aires in phase1.	
Proyecto de servicios municipales b·sicos	Argentina	P060484	110.00	Cerrado	2006-06-06T00:00:00Z	2015-06-05T00:00:00Z	The objective of the Project is to improve the quality of life and the quality of basic municipal services through the provision of water supply and sanitation, urban drainage, and roads infrastructure in an equitable and fiscally sustainable manner.	
Proyecto de transiciÛn para jefes de hogar	Argentina	P055483	350.00	Cerrado	2006-03-23T00:00:00Z	2016-04-12T00:00:00Z	The Project Development Objectives are to help: (i) reduce poverty by supporting  the workfare component of the Heads of Household Program, including continued i mprovements in Program management and governance; and (ii) promote activities ai med at getting more beneficiaries of this Program into full-time employment, the reby enabling them to graduate from the Program.  Activities to promote labor ma rket participation by beneficiaries would include: (i) workfare sub-projects des igned especially to promote employability, for example, by combining them with t raining, skill certification, and targets for job placement; (ii) support for pr oductive micro-projects; and (iii) the establishment and support to municipal of fices of employment services.	
Proyecto nacional de manejo de residuos sÛlidos urbanos	Argentina	P089926	40.00	Cerrado	2006-02-28T00:00:00Z	2015-06-05T00:00:00Z	The development objective of this project is to improve public health and quality of life by developing environmentally and financially sustainable systems for urban solid waste management in Argentina.	
Programa subnacional de modernizaciÛn del sector p˙blico 	Argentina	P070448	40.00	Cerrado	2005-12-15T00:00:00Z	2013-10-02T00:00:00Z	The project aims at improving the capabilities of the provincial governments and  their municipalities to more effectively manage their resources and improve the  quality of government administrative services. Its specific objectives are: i) to support the integrated development and adoption of basic management tools tha t are conducive to the efficient and transparent management of provincial and mu nicipal resources; ii) to strengthen provincial governments in such key areas as  those related to land tax and tax administration, human resources management, j udicial services, civil registries, control entities and public safety functions ; and iii) to support the strengthening of municipal governments through pilot a ctivities designed to demonstrate the benefits of integrated modernization effor ts.	
Proyecto de mejoramiento de la educaciÛn rural en Argentina  - PROMER	Argentina	P070963	150.00	Cerrado	2005-12-15T00:00:00Z	2014-04-18T00:00:00Z	The Project's Development Objective is to support national Government policy to: (i) improve the coverage, efficiency, and qualityof the Argentine education system, and (ii) to improve the governance of the Argentine education system through strengthening of thenormative, planning, information, monitoring, and evaluation capacity at the national and provincial levels.	
Fortalecimiento institucional - ANSES II TA	Argentina	P092836	25.00	Cerrado	2005-07-05T00:00:00Z	2013-06-12T00:00:00Z	Building on the achievements of the first operation, the project development objective is to enhance service-delivery by ANSES by improving its efficiency, effectiveness, transparency and accountability through institutional reengineering, fraud and error detection, change management and greater internal and external oversight, as well as institutional strengthening of the Social Security Secretariat. In particular, the proposed project will: (i) consolidate and expand selected organizational reforms of ANSES through business process reengineering, integration and automation of core processes, functions, and products, and ICT investments for continuous dynamic change with a view to improve the efficiency and effectiveness of service-delivery; (ii) support the institutional strengthening of the Social Security Secretariat to enhance its policymaking and oversight functions, strengthen the accountability of ANSES and other social security institutions, and promote outreach to other stakeholders; (iii) enhance access to information and exchange of information, help fraud and error detection in benefit determination and liquidation, and promote effective channels for citizen engagement and oversight, with a view to improve internal and external transparency and citizen participation; and (iv) promote change management, innovation, and dissemination of good management practices to enhance project performance and sustainability.	
Proyecto de infraestructura vial provincial 	Argentina	P070628	150.00	Cerrado	2005-06-07T00:00:00Z	2018-01-18T00:00:00Z	The objectives of the Project are: (a) to improve the primary paved road sectorassets of Participating Provinces I; and (b) to enh ance the DPVs capacity to manage andadminister said road assets, so as to facilitate the transport of products within theBorrow ers territory.	
Primer prÈstamo adaptable para programas de drenaje y prevenciÛn de inundaciones urbanas	Argentina	P088220	130.00	Cerrado	2005-04-05T00:00:00Z	2013-05-01T00:00:00Z	The proposed APL project, Phase A, would increase The City of Buenos Aires resilience to flooding through protection of its critical infrastructure and the introduction of a risk management approach to the government investment program. The project would focus on the issue of risk identification and reduction through prevention, mitigation, education and training.	
Primera fase del prÈstamo adaptable para programas de infraestructura en Buenos Aires, Argentina 	Argentina	P088032	200.00	Cerrado	2004-12-07T00:00:00Z	2015-11-25T00:00:00Z	The development objectives (PDOs) of this project are to: (i) enhance the provision of water andsewerage services for the benefitof low-income people, in particular for those peopleliving in highly vulnerable areas; (ii) improve high priority road segments of theBorrowers road network; (iii) mitigate urban flooding; and (iv) support thereactivation of the Borrowers economy and strengthen its regional competitiveness.	
AR Economic Recovery Support Structural Adjustment Loan (ERSAL)	Argentina	P083982	500.00	Cerrado	2004-06-29T00:00:00Z	2018-01-14T00:00:00Z	The objective of this structural adjustment loan is to support Argentina's efforts to consolidate economic recovery and ensure long-term growth and employment creation through the expansion of domestic enterprise. This will be accomplished through improving the functioning of the financial sector, resolving disputes in public/private contracts in the utilities sector; increasing transparency in the executive and judicial branches of government; improving the investment climate and the enhancement of competitivenss and export potential of existing and new enterprises through systematic productivity gains, quality improvements and innovation.	
GestiÛn de activos viales nacionales	Argentina	P088153	200.00	Cerrado	2004-06-29T00:00:00Z	2018-01-18T00:00:00Z	The overall purpose of the program is to gradually consolidate an efficient road network management strategy, bringing about the necessary resources to preserve the national road network in the long term. Specific Objectives are to:  1. Preserve the condition of vital road assets, through the gradual expansion of performance-based contracts for the rehabilitation and maintenance of the non-concessioned primary paved network; 2. Strengthen road sector management through carrying out a renewal program of DNV to revitalize its role in the sector by: (i) reinforcing its human resource base, (ii) consolidating its transformation into a results-oriented organization accountable for specific outputs; (iii) introducing a systematic approach to bridge management and (iv) enhancing road safety	
Proyecto de inversiÛn en salud materno infantil provincial en Argentina (primera fase de prÈstamo adaptable para programas)	Argentina	P071025	135.80	Cerrado	2004-04-15T00:00:00Z	2013-01-15T00:00:00Z	The proposed loan is an integral part of the Government of Argentina's poverty reduction program and aims to support the implementation of the Maternal and Child Health Insurance Program.  The project will contribute to: (a) stop the increase in infant mortality and further reduce it; (b) support the implementation of a significant change in health service contracting and management at provincial level, and (c) strengthen the stewardship capacity of the national and provincial mi nistries of health.	
Provincial Maternal-Child Hlth Sector Adjustment Ln. (PMCHSAL)	Argentina	P072637	750.00	Cerrado	2003-10-28T00:00:00Z	2013-01-15T00:00:00Z	The Provincial Maternal-Child Health Sector Adjustment Loan (PMCHSAL) aims to: (a) respond to the urgent health needs of the poor, particularly uninsured mothers and children; and (b) simultaneously, assist the Government to modify the incentive framework for financing and delivery of health care services, starting in Argentina's poorest provinces.	
Argentina Economic and Social Transition Structural Adjustment Loan	Argentina	P083074	500.00	Cerrado	2003-05-22T00:00:00Z	2018-01-14T00:00:00Z		
Social Protection VI Project - Jefes de Hogar (Heads of Household)	Argentina	P073578	600.00	Cerrado	2003-01-28T00:00:00Z	2016-04-12T00:00:00Z	Support a social safety net program which, through financing for small infrastructure and productive activities, maintenance, and community services provides temporary employment to poor workers and improves the living standards in poor communities	
ProFam:  Family Strengthening and Social Capital Promotion	Argentina	P070374	5.00	Cerrado	2001-11-08T00:00:00Z	2013-01-15T00:00:00Z	To test and monitor a social capital approach to address the vulnerability of the poor by targeting families as comprehensive units and promoting gender equity.	
AR SAL 1 (Federal Provincial Fiscal Relations)	Argentina	P073591	400.00	Cerrado	2001-08-28T00:00:00Z	2013-01-15T00:00:00Z	Project Development Objective (Note: will be disclosed in the MOS) The loan will support the government's efforts to re-organize and improve the efficiency of social sector expenditures, as well as lead efforts to immprove general fiscal performance , budgeting and planning at the provincial level.  The loan would also address consolidation of structural reform at the federal level, specifically in the areas of tax administration and public sector manangement.  Board Schedule Comments	
Santa Fe Provincial Reform Adjustment Loan	Argentina	P069913	330.00	Cerrado	2001-07-19T00:00:00Z	2016-04-12T00:00:00Z	The overall objective of the program supported by the Bank is to help the Province of Santa Fe to reform and restructure its government so as to ensure eficiency, quality and equity in public services, particularly in health, education and social protection, within fiscally sound policies.  Specific objectives include:  A.  Public Finance and Administration (i).    Attaining a fiscal balance (ii).   Modernizing financial management and enhancing transparency (iii).  Economic evaluation of public investments and environmental screening (iv.)  Reducing tax distortions (v).   Modernizing tax administration (vi).  Concessioning electricity distribution to reduce costs B.  Social Protection (i).   Protecting the social safety net (ii).  Modernizing beneficiary registration C.  Education (i).   Protecting education spending (ii).  Improving human resource management systems for teachers and students (iii). Enhancing the use of student/school evaluations (iv).  Strengthening teacher training (v).   Improving the efficieny and equity of private school subsidies. D. Health (i).  Strengthening primary care for the uninsured (ii).  Improving public hospitals (iii). Strengthening the regulatory role of the Ministry of Health (iv). Sustaining the financial balance of the public employee health insurance carrier.	
Segundo proyecto de educaciÛn secundaria  Provincia de Buenos Aires	Argentina	P064614	56.99	Cerrado	2000-12-07T00:00:00Z	2013-01-15T00:00:00Z	1. Increase access to quality education and improve equity by supporting the implementation of a Full-Day Schedule (known as the "Jornada Completa") in selected  EGB3 schools serving students from the poorest households.  2.  Increase school management as a necessary complement to the introduction of a "Full-Day Schedule" in the selected EGB3 schools.	
Provincial Reform Loan Project - Cordoba	Argentina	P068344	303.00	Cerrado	2000-11-22T00:00:00Z	2013-01-15T00:00:00Z	The objective of this structural adjustment loan is to promote an efficient and responsive delivery of public services by the province of Cordoba within fiscally sound policies.	
Sustainable Fisheries Management Project	Argentina	P057459	5.00	Cerrado	2000-09-19T00:00:00Z	2016-04-12T00:00:00Z	THE PROJECT WOULD SUPPORT IMPLEMENTATION OF AN INDIVIDUAL TRANSFERABLE QUOTA SYSTEM AND OTHER MEASURES ASSOCIATED WITH IMPROVED, SUSTAINABLE FISHERIES MANAGEMENT INCLUDING ASSISTANCE TO DISPLACED WORKERS. 8/6/2002 - THIS PROJECT WAS APPROVED BY THE BOARD BUT NEVER SIGNED. THE GOVERNMENT DID NOT CONFIRM TO THE BANK THEIR AGREEMENT TO SIGN THE PROJECT WITHIN THE DEADLINE ESTABLISHED BY THE BANK - BEYOND THE 18 MOTH GRACE PERIOD AS PER BANK OPERATIONAL GUDIELINES. CMU DIRECTOR HAS DECIDED TO DROPP PROJECT. 8/6/2002 PROJECT IS SET TO DROP PENDING (BOARD APPROVAL DATE REMOVED) PER MARIA CURZI E-MAIL ON 8/6/2002. OK BY STAEL BALTAR.	
Indigenous Community Development LIL	Argentina	P057473	5.00	Cerrado	2000-09-18T00:00:00Z	2013-01-15T00:00:00Z		
PROVINCIAL REFORM ADJUSTMENT LOAN - CATAMARCA	Argentina	P044447	70.70	Cerrado	2000-09-14T00:00:00Z	2013-01-15T00:00:00Z	The overall objective of the program supported by the Bank is to help the Province of Catamarca to reform and restructure its government so as to ensure an efficient and responsive delivery of public services within fiscally sound policies..  Specific objectives are:  A.  Public Finance and Adminsitration: (i).   Improving tax collection and administration to promote higher reliance on own-source revenues and increased accountability; (ii).  Reforming  civil service, including reduction in the wage bill and redundant personnel; improved training and compensation; controls to lower absenteeism and overpayments; and, (iii). Rationalizing public expenditures and prioritizing government spending, with emphasis on privatization and outsourcing to improve the reliability and quality of public services. B.  Education Reform: (i).   Increasing low student/teacher ratios; (ii).  Reducing disproportionate use of temporary and substitute education personnel; (iii). Improving the incentive for quality improvements; (iv). Enhancing private sector participation; and (v).  Reducing administrative costs. C.  Health Reform (i).   Extending coverage to the unisured poor (ii).  Ensuring the financial viability of the provincial health insurance carrier; (iii). Reallocating resources to non-personnel spending; (iv). Promting essential public health services; (v).  Promoting hospital autonomy (vi). Improving integration between primary and secondary health care; and (vii). Accrediting services and quality assurance systems.	
Health Insurance for the Poor Project	Argentina	P063388	4.90	Cerrado	1999-11-24T00:00:00Z	2013-01-15T00:00:00Z		
AR-Pub. Hlth. Surveillance & Disease Control Project (VIGIA)	Argentina	P055482	52.50	Cerrado	1999-10-14T00:00:00Z	2013-01-15T00:00:00Z		
ARGENTINA-POLICY BASED GUARANTEE OPERATION	Argentina	P068845	250.00	Cerrado	1999-09-16T00:00:00Z	2018-01-14T00:00:00Z		
Water Sector Reform Project	Argentina	P006046	30.00	Cerrado	1999-06-01T00:00:00Z	2013-01-15T00:00:00Z		
Integrated Drug Prevention Pilot Project	Argentina	P058526	4.75	Cerrado	1999-05-05T00:00:00Z	2013-01-15T00:00:00Z		
Social and Fiscal National Identification System  Project	Argentina	P055461	10.00	Cerrado	1999-04-20T00:00:00Z	2013-01-15T00:00:00Z		
Proyecto de energÌa renovable en el mercado rural 	Argentina	P006043	30.00	Cerrado	1999-03-30T00:00:00Z	2013-04-15T00:00:00Z		
ModernizaciÛn estatal	Argentina	P057449	30.30	Cerrado	1998-12-17T00:00:00Z	2013-01-15T00:00:00Z		
Special Structural Adjustment Loan Project	Argentina	P062991	2525.25	Cerrado	1998-11-10T00:00:00Z	2018-01-14T00:00:00Z		
Repurchase Facility Support Loan Project	Argentina	P062992	505.05	Cerrado	1998-11-10T00:00:00Z	2018-01-14T00:00:00Z		
AR: Fourth Social Protection Project	Argentina	P006058	90.80	Cerrado	1998-10-15T00:00:00Z	2013-01-15T00:00:00Z		
Social Protection Project (03)	Argentina	P049269	284.00	Cerrado	1998-06-30T00:00:00Z	2013-01-15T00:00:00Z		
Secondary Education 3	Argentina	P050714	119.00	Cerrado	1998-04-09T00:00:00Z	2016-04-12T00:00:00Z		
Model Court Development Project	Argentina	P050713	5.00	Cerrado	1998-04-08T00:00:00Z	2013-01-15T00:00:00Z		
National Highways Rehabilitation and Maintenance Project	Argentina	P052590	450.00	Cerrado	1998-03-17T00:00:00Z	2018-01-18T00:00:00Z		
Pollution Management Project	Argentina	P006050	18.00	Cerrado	1998-02-10T00:00:00Z	2016-05-10T00:00:00Z		
Second Mining Development Technical Assistance Project	Argentina	P055477	39.50	Cerrado	1998-02-10T00:00:00Z	2013-01-15T00:00:00Z		
El Nino Emergency Flood Project	Argentina	P055935	42.00	Cerrado	1998-01-20T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Reform Project (02) - Tucuman	Argentina	P006006	100.00	Cerrado	1997-08-26T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Reform Project (02) - Salta	Argentina	P051693	75.00	Cerrado	1997-08-26T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Reform Project (02) - San Juan	Argentina	P051694	50.00	Cerrado	1997-08-26T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Reform Project (02) - Rio Negro	Argentina	P051695	75.00	Cerrado	1997-08-26T00:00:00Z	2013-01-15T00:00:00Z		
Small Farmer Development Project	Argentina	P006041	75.00	Cerrado	1997-07-17T00:00:00Z	2016-04-12T00:00:00Z		
Social Protection Project (02) - TRABAJAR	Argentina	P049268	200.00	Cerrado	1997-06-19T00:00:00Z	2016-04-12T00:00:00Z		
AR Aids and Sexually Transmitted Diseases Control Project	Argentina	P043418	15.00	Cerrado	1997-05-22T00:00:00Z	2013-01-15T00:00:00Z		
AR-Maternal and Child Health and Nutrition 2 (PROMIN)	Argentina	P006059	100.00	Cerrado	1997-05-15T00:00:00Z	2013-01-15T00:00:00Z		
Proyecto de transporte urbano en Buenos Aires 	Argentina	P039584	200.00	Cerrado	1997-05-15T00:00:00Z	2018-01-18T00:00:00Z		
Proyecto de desarrollo agrÌcola provincial  - PrÈstamo 4150	Argentina	P006010	125.00	Cerrado	1997-04-22T00:00:00Z	2016-04-12T00:00:00Z		
National Pension Administration Technical Assistance Project	Argentina	P046821	20.00	Cerrado	1997-01-21T00:00:00Z	2013-01-15T00:00:00Z		
Flood Protection Project	Argentina	P006052	200.00	Cerrado	1996-12-11T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Pension Reform Adjustment Loan Project	Argentina	P044445	300.00	Cerrado	1996-12-11T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Roads Project	Argentina	P005980	300.00	Cerrado	1996-09-12T00:00:00Z	2018-01-18T00:00:00Z		
Proyecto de ·reas protegidas y bosques nativos	Argentina	P040808	19.50	Cerrado	1996-09-05T00:00:00Z	2016-04-12T00:00:00Z		
Health Insurance Technical Assistance Project	Argentina	P045687	25.00	Cerrado	1996-04-25T00:00:00Z	2013-01-15T00:00:00Z		
Health Insurance Reform Loan	Argentina	P040909	350.00	Cerrado	1996-04-25T00:00:00Z	2013-01-15T00:00:00Z		
AR-Decentralization & Improvement  of Secondary Educ. & Polymodal Education Development Project	Argentina	P006057	115.50	Cerrado	1995-12-21T00:00:00Z	2013-01-15T00:00:00Z		
Enterprise Export Development Project	Argentina	P038883	38.50	Cerrado	1995-11-28T00:00:00Z	2013-01-15T00:00:00Z		
Social Protection Project 	Argentina	P035495	152.00	Cerrado	1995-11-21T00:00:00Z	2016-04-12T00:00:00Z		
Public Investment Strengthening Technical Assistance Project	Argentina	P037049	16.00	Cerrado	1995-11-21T00:00:00Z	2013-01-15T00:00:00Z		
Forestry Development Project	Argentina	P006040	16.00	Cerrado	1995-10-24T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Health Sector Development Project	Argentina	P006030	101.40	Cerrado	1995-08-03T00:00:00Z	2013-01-15T00:00:00Z		
MINING SECTOR DEVELOPMENT T.A.	Argentina	P006055	30.00	Cerrado	1995-07-25T00:00:00Z	2013-01-15T00:00:00Z		
Bank Reform Loan Project	Argentina	P040904	500.00	Cerrado	1995-07-25T00:00:00Z	2018-01-14T00:00:00Z		
AR-Higher Education Reform Project	Argentina	P034091	165.00	Cerrado	1995-07-06T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Development Project (02)	Argentina	P006018	225.00	Cerrado	1995-05-04T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Bank Privatization Loan Project	Argentina	P040826	500.00	Cerrado	1995-05-04T00:00:00Z	2018-01-14T00:00:00Z		
Municipal Development Project (02)	Argentina	P006060	210.00	Cerrado	1995-03-23T00:00:00Z	2013-01-15T00:00:00Z		
Provincial Reform Loan	Argentina	P006035	300.00	Cerrado	1995-01-24T00:00:00Z	2018-01-14T00:00:00Z		
Decentralization and Improvement of Secondary Education Project	Argentina	P005992	190.00	Cerrado	1994-09-15T00:00:00Z	2013-01-15T00:00:00Z		
Capital Market Development Technical Assistance Project	Argentina	P006062	8.50	Cerrado	1994-03-01T00:00:00Z	2018-01-14T00:00:00Z		
Capital Market Development Project	Argentina	P005988	500.00	Cerrado	1994-03-01T00:00:00Z	2018-01-14T00:00:00Z		
Maternal and Child Health and Nutrition Project 	Argentina	P006025	100.00	Cerrado	1993-08-03T00:00:00Z	2013-01-15T00:00:00Z		
Road Maintenance and Rehabilitation Sector Project	Argentina	P006003	340.00	Cerrado	1993-06-03T00:00:00Z	2018-01-18T00:00:00Z		
Financial Sector Adjustment Loan Project	Argentina	P006047	400.00	Cerrado	1993-02-16T00:00:00Z	2018-01-14T00:00:00Z		
Debt and Debt Service Reduction Loan Project	Argentina	P006037	450.00	Cerrado	1993-01-05T00:00:00Z	2018-01-14T00:00:00Z		
Public Enterprise Reform Adjustment Loan Project (02)	Argentina	P006012	300.00	Cerrado	1993-01-05T00:00:00Z	2018-01-14T00:00:00Z		
YACYRETA II	Argentina	P006036	300.00	Cerrado	1992-09-29T00:00:00Z	2015-08-14T00:00:00Z		
Flood Rehabilitation Project	Argentina	P006051	0.00	Cerrado	1992-09-29T00:00:00Z	2013-01-15T00:00:00Z		
Tax Administration Technical Assistance Project (02)	Argentina	P006034	20.00	Cerrado	1992-04-14T00:00:00Z	2013-01-15T00:00:00Z		
Hydrocarbon Engineering Project	Argentina	P006032	28.00	Cerrado	1991-11-19T00:00:00Z	2013-01-15T00:00:00Z		
Public Sector Reform Loan Project	Argentina	P006026	325.00	Cerrado	1991-07-30T00:00:00Z	2013-01-15T00:00:00Z		
Public Sector Reform Technical Assistance Project	Argentina	P006029	23.00	Cerrado	1991-06-25T00:00:00Z	2013-01-15T00:00:00Z		
Agricultural Services & Institutional Development Project	Argentina	P006009	33.50	Cerrado	1991-02-28T00:00:00Z	2016-04-12T00:00:00Z		
Public Enterprise Reform Execution Project (PEREL)	Argentina	P006028	23.00	Cerrado	1991-02-12T00:00:00Z			
Public Enterprise Reform Adjustment Loan (PERAL) Project	Argentina	P005993	300.00	Cerrado	1991-02-12T00:00:00Z			
Provincial Development Project	Argentina	P006005	200.00	Cerrado	1990-12-18T00:00:00Z	2013-01-15T00:00:00Z		
Water Supply and Sewerage Sector Project	Argentina	P005977	100.00	Cerrado	1990-12-18T00:00:00Z	2013-01-15T00:00:00Z		
Tax Administration Technical Assistance	Argentina	P006013	6.50	Cerrado	1989-01-24T00:00:00Z			
Electric Power Sector Loan Project	Argentina	P005986	252.00	Cerrado	1988-10-27T00:00:00Z			
Trade Policy Loan Project (02)	Argentina	P005987	300.00	Cerrado	1988-10-27T00:00:00Z			
Housing Sector Project (01)	Argentina	P006002	300.00	Cerrado	1988-10-27T00:00:00Z			
Social Sector Management Technical Assistance Loan Project	Argentina	P005991	28.00	Cerrado	1988-07-26T00:00:00Z			
Agricultural Credit Project (02)	Argentina	P005985	106.50	Cerrado	1988-06-23T00:00:00Z			
Banking Sector Loan (BSL) Project	Argentina	P005976	400.00	Cerrado	1988-03-29T00:00:00Z			
Municipal Development Project	Argentina	P005963	120.00	Cerrado	1988-03-22T00:00:00Z			
SEGBA V	Argentina	P005968	276.00	Cerrado	1987-06-23T00:00:00Z	2015-08-14T00:00:00Z		
Trade Policy & Export Diversification Project	Argentina	P005970	500.00	Cerrado	1987-05-19T00:00:00Z			
Bahia Blanca I Port Project	Argentina	P005944	50.00	Cerrado	1987-05-05T00:00:00Z			
Small and Medium Scale Industry Credit Project	Argentina	P005966	125.00	Cerrado	1987-04-14T00:00:00Z			
Power Engineering Project	Argentina	P005962	14.00	Cerrado	1986-09-16T00:00:00Z			
Public Sector Management Technical Assistance Project	Argentina	P005961	18.50	Cerrado	1986-06-03T00:00:00Z			
REFINERY SUPP LOAN	Argentina	P005967	116.00	Cerrado	1986-05-20T00:00:00Z			
Agricultural Sector Loan Project	Argentina	P005956	350.00	Cerrado	1986-04-03T00:00:00Z			
Water Supply Project	Argentina	P005945	60.00	Cerrado	1985-12-10T00:00:00Z			
Gas Utilization and Technical Assistance Project	Argentina	P005949	180.00	Cerrado	1985-06-25T00:00:00Z			
Highway Project (05)	Argentina	P005943	100.00	Cerrado	1983-05-31T00:00:00Z			
Industrial Credit Project (02)	Argentina	P005940	100.00	Cerrado	1981-12-01T00:00:00Z			
Oil and Gas Credit Project	Argentina	P005941	100.00	Cerrado	1981-07-07T00:00:00Z			
Refinery Conversion Project	Argentina	P005942	200.00	Cerrado	1981-07-07T00:00:00Z			
Coal Exploration Project	Argentina	P005939	10.00	Cerrado	1980-12-09T00:00:00Z			
Vocational Training and Technical Education Project	Argentina	P005938	58.00	Cerrado	1980-10-07T00:00:00Z			
Oil and Gas Engineering Project	Argentina	P005936	27.00	Cerrado	1980-06-24T00:00:00Z			
Yacyreta Hydroelectric Project	Argentina	P005937	210.00	Cerrado	1979-10-16T00:00:00Z			
Railways Project (02)	Argentina	P005935	96.00	Cerrado	1979-03-27T00:00:00Z			
Agricultural Credit Project	Argentina	P005933	60.00	Cerrado	1978-05-09T00:00:00Z			
Grain Storage Project	Argentina	P005934	105.00	Cerrado	1978-02-21T00:00:00Z			
Industrial Credit Project	Argentina	P005930	100.00	Cerrado	1977-06-16T00:00:00Z			
Highway Project (04)	Argentina	P005932	105.00	Cerrado	1977-03-22T00:00:00Z			
Buenos Aires Power Project (04)	Argentina	P005931	115.00	Cerrado	1976-09-21T00:00:00Z			
Highway Project (03)	Argentina	P005928	67.50	Cerrado	1971-03-30T00:00:00Z			
Railway Project	Argentina	P005929	84.00	Cerrado	1971-03-30T00:00:00Z			
Buenos Aires Power Project (03)	Argentina	P005927	60.00	Cerrado	1969-10-07T00:00:00Z			
Road Project (02)	Argentina	P005926	25.00	Cerrado	1969-06-24T00:00:00Z			
El Chocon Power Project	Argentina	P005925	82.00	Cerrado	1968-12-17T00:00:00Z			
Buenos Aires Power Project (02)	Argentina	P005924	55.00	Cerrado	1968-01-25T00:00:00Z			
Balcarce Livestock Project	Argentina	P005923	15.30	Cerrado	1967-07-31T00:00:00Z			
Buenos Aires Power Project	Argentina	P005922	95.00	Cerrado	1962-01-23T00:00:00Z			
Road Project	Argentina	P005921	48.50	Cerrado	1961-06-30T00:00:00Z			
